Length,Time, 
L20T1,8.88, 
L20T2,8.97, 
L20T3,8.94, 
L40T1,12.75, 
L40T2,12.62, 
L40T3,12.69, 
L40T4,12.9, 
L40T5,12.69, 
L60T1,15.78, 
L60T2,15.57, 
L60T3,15.72, 
L60T4,15.69, 
L60T5,15.56, 
L80T1,17.94, 
L80T2,17.85, 
L80T3,18.04, 
L80T4,18.07, 
L80T5,17.63, 
L100T1,20.12, 
L100T2,20.07, 
L100T3,20.09, 
L100T4,20.22, 
L100T5,20.03, 
L120T1,21.87, 
L120T2,21.91, 
L120T3,21.93, 
L120T4,21.68, 
L120T5,21.94, 
L140T1,23.84, 
L140T2,23.72, 
L140T3,23.5, 
L140T4,23.62, 
L140T5,23.84, 
